proxy	x	y	z
AftermathDebrisPileConcrete_Skew_210_A	0.651590	0.000010	0.651590
AftermathDebrisPileConcrete_Skew_210_B	0.651590	0.000010	0.651590
AftermathDebrisPileConcrete_Skew_210_C	0.100000	0.000010	0.100000
AftermathDebrisPileConcrete_Skew_210_D	0.651590	0.000010	0.651590
AftermathDebrisPileConcrete_Skew_210_E	0.100000	0.000010	0.100000
AftermathDebrisPileConstruction_Ramp_512_01	0.049127	0.000010	0.049127
AftermathDebrisPileConstruction_Ramp_512_01_B	0.049127	0.000010	0.049127
AftermathDebrisPileDrywall_Center_120_01	0.095916	0.000010	0.114775
AftermathDebrisPileDrywall_Center_120_01_B	0.095916	0.000010	0.114775
AftermathDebrisPileDrywall_Center_60_01	0.072105	0.000010	0.056708
AftermathDebrisPileDrywall_Center_60_01_B	0.072105	0.000010	0.056708
AftermathDebrisPileDrywall_Ramp_210_01	0.095916	0.000010	0.114775
AftermathDebrisPileDrywall_Ramp_210_01_B	0.095916	0.000010	0.114775
AftermathDebrisPileMetal_210_01	17.166548	3.131838	15.936665
AftermathDebrisPileRedBrick_01_A	7.341964	0.311248	7.418873
AftermathDebrisPileRedBrick_01_B	4.201303	0.201325	4.463068
AftermathDebrisPileVillage_120_01	0.049127	0.000010	0.049127
AftermathDebrisRocks_210	0.338827	0.000010	0.338827
AftermathDebrisRocks_310	0.651590	0.000010	0.651590
AftermathDebrisRocks_310_B	0.651590	0.000010	0.651590
AftermathJet_Skew_210	0.100000	0.000010	0.100000
Aftermath_DebrisPileConcrete_Skew_210_A_1	0.651590	0.000010	0.651590
AgaveAmericanaPotted_01_S_A	0.773812	1.142670	0.762767
AgaveAmericanaPotted_01_S_B	1.434889	1.602442	1.256657
AgaveAmericana_01_S_A	1.134378	1.112896	1.097183
AgaveAmericana_01_S_B	1.155675	1.104235	1.171280
Ailanthis_01_S	0.874525	0.752133	0.448534
Ailanthis_01_S_B	0.686175	0.613624	0.525106
Ailanthis_01_S_C	0.761829	0.912092	0.619049
Ailanthis_01_S_D	0.785055	1.538133	0.853170
Ailanthis_01_S_E	0.534213	0.451018	0.393041
AirConClusterBuildingSide_01	1.040748	16.176941	9.778028
AirConClusterBuildingSide_02	1.319866	15.606649	4.906464
AirConClusterBuildingSide_03	1.319866	12.022891	4.655880
AirConClusterBuildingSide_04	1.255257	14.582891	2.099314
AirConClusterBuildingSide_05	1.319866	16.081017	2.440439
AirConClusterBuildingSide_06	1.278094	12.608341	5.954596
Airconditioner_01	1.065428	0.616307	0.428691
Airconditioner_01_B	0.663003	0.543493	0.530730
AirControlTower_02	16.887571	39.542946	16.887571
AircraftWreckage_Jas39_01_Body	4.769754	3.117501	14.533026
AirDuctDamaged_B_1024	1.511945	2.719850	10.241219
AirDuctPipeBrace_01	0.407930	2.043470	0.041164
AirDuctPipeCap_01	0.740537	0.306124	0.302338
AirDuctPipe_01	0.286445	0.286446	0.640000
AirDuctPipe_01_C90	0.758676	0.236661	0.755032
AirDuctPipe_1024_01	0.410631	2.042308	10.237900
AirDuctPipe_256_01	0.409091	2.050824	2.558050
AirDuctPipe_256_02	0.407930	2.035533	2.039130
AirDuctPipe_256_C90_01	2.764780	2.048245	2.764487
AirDuctPipe_512_01	0.410631	2.048353	5.116390
AirDuct_01_A_1024	1.395697	2.494456	10.240002
AirDuct_01_C135	1.078906	1.173800	1.710889
AirDuct_02_A_256	0.640000	2.560000	1.280001
AirDuct_02_A_256_B	4.147326	2.690905	4.165257
AirDuct_02_A_512	0.640000	5.120000	1.280001
AirDuct_02_A_512_NBRK	0.640000	5.120000	1.280001
AirDuct_02_A_Corner	0.690000	1.317501	1.317501
AirDuct_02_A_Corner_NBRK	0.690000	1.317501	1.317501
AirDuct_02_A_End	0.675011	0.674000	1.330001
AirDuct_02_A_End_NBRK	0.675011	0.674000	1.330001
AirDuct_02_A_Joint	1.297598	1.426736	0.118784
AirDuct_02_C135	2.027909	2.312116	3.050728
AirDuct_1024_A	1.399437	2.361211	10.240003
AirDuct_1024_B	1.395697	2.494456	10.240002
AirDuct_1024_C	1.399437	3.815843	10.240003
AirDuct_256	1.302409	2.361211	2.560001
AirDuct_256_B	1.302409	3.815833	2.560001
AirDuct_512_A	1.313068	2.361211	5.120494
AirDuct_512_B	1.396912	2.361211	5.120002
AirDuct_768	1.345141	2.431030	7.094160
AirDuct_Bend_90_128	1.848244	2.442122	1.839945
AirDuct_Bend_90_128_B	1.848244	2.442122	1.839945
AirDuct_Bend_T_90_128	2.560000	0.698816	1.852262
AirDuct_End	1.320869	0.926650	0.320000
AirDuct_End_Bend_Up	1.114887	0.988161	0.979452
AirDuct_End_Bend_Up_A_Dull	1.114887	0.988161	0.979452
AirDuct_End_Vent	1.302409	2.544099	1.920000
AirDuct_TShape	2.560000	0.699818	1.197168
AirDuct_Vent	1.154189	0.572138	0.420537
AirfieldBlastBarrier_01	4.054222	4.081277	4.252226
AirplaneJAS39Body	1.898622	1.579418	3.192100
AirplaneJAS39Body_B	3.340080	1.783919	5.380935
AirplaneJAS39Cab	2.016356	1.555823	5.598396
AirplaneJAS39Cab_01_Contaminated	2.016356	1.555823	5.598396
AirplaneJAS39Cloth_01	0.948220	1.573246	3.829671
AirplaneJAS39Cockpit_01	0.892647	1.270158	2.900976
AirplaneJAS39Cover	5.380934	1.954049	5.118421
AirplaneJAS39EnginePlugsBack_01	0.546785	0.546785	0.000010
AirplaneJAS39EnginePlugsLeft_01	0.344575	0.687954	0.218682
AirplaneJAS39EnginePlugsRight_01	0.344575	0.687954	0.218682
AirplaneJAS39Frame_01	3.516736	1.057699	2.295727
AirplaneJAS39Frame_01_B	5.598395	2.217465	2.295727
AirplaneJAS39Frame_01_Contaminated	3.516736	1.057699	2.295727
AirplaneJAS39Frame_02	4.518070	2.252056	2.295727
AirplaneJAS39FuelTank_01	1.119962	0.637613	4.703267
AirplaneJAS39LeftWing	0.251443	2.722795	4.132199
AirplaneJAS39Nose	0.807064	0.741694	2.600789
AirplaneJAS39Panel	2.647799	1.819768	4.106827
AirplaneJAS39PanelFrame_01	4.518070	2.647799	2.106594
AirplaneJAS39PanelFrame_01_B	3.166646	2.297503	2.040784
AirplaneJAS39TailWing	0.298568	2.042812	3.130040
AirplaneJAS39_01	8.567642	4.560074	14.418060
AirplaneJAS39_01_B	8.567642	4.560074	14.418060
AirplaneJAS39_01_C	8.567642	4.560074	14.418060
AirplaneJAS39_Repair_01	3.961394	3.129130	5.647861
AirportTerminalLarge_01	212.289642	19.866280	222.720001
AirportTerminalStorage_01	58.879997	7.040001	76.800003
AI_Spawner	0.719358	0.657870	2.010609
AI_WaypointPath	38.200943	4.000000	4.000000
AlleyTrash_01	3.905701	1.854102	2.905914
AlleyTrash_02	2.233909	0.451163	1.938488
AlleyTrash_02_WinterEvent	2.233909	0.451163	1.938488
AlleyTrash_03	2.771604	1.160388	3.332014
AlleyTrash_04	2.319030	0.919283	2.044347
AlleyTrash_05	2.836134	0.903101	2.536251
AlleyTrash_06	5.447304	1.031457	3.798429
AlleyTrash_07	2.049753	1.237019	3.377697
AlleyTrash_08	2.122553	1.153463	2.645374
AluminumBench_01	0.250000	0.466000	3.000056
AluminumGangway_01_1024	2.112516	1.218510	10.259979
AmmoChest_Small_01	0.613035	0.785287	0.864386
AmmoChest_Small_Ext_01	0.613035	0.250555	0.600105
AmmoChest_Small_Int_01	0.476801	0.017742	0.513870
AmmoChest_Small_Lid_01	0.527181	0.123834	0.580408
AmmoStack_01	2.264993	1.520039	0.998953
Anemometer_01	0.285654	0.465589	0.627834
AnimalDungLarge_01	0.869957	0.163933	1.028901
AntennaMastMetal_01	1.345646	26.344185	1.345646
AntennaMast_01	3.075628	26.344185	3.074032
AntennaMast_01_BD	2.491698	15.593123	2.130054
AntennareciverMetal_01	3.074031	2.668882	3.074031
AntennaRooftop_01	0.152079	2.076046	1.527393
AntennaSmall_01_A	0.165518	2.752222	0.170192
AntennaSmall_01_B	0.181598	2.790880	0.325782
AntennaTall_01	2.114041	12.889388	2.062388
Antenna_01	1.022596	8.997518	1.122418
Antenna_01_B	1.537649	9.091984	1.400554
Antenna_02	0.256856	2.538417	0.413178
Antenna_02_B	2.114041	13.071272	2.062388
AppleCluster_01	0.490129	0.119179	0.523040
AppleCluster_02	0.433387	0.180427	0.279441
Apple_01	0.106285	0.110382	0.100553
AP_Planter_Grass_02	4.000000	0.000010	4.000000
AP_Planter_PurpleFlowers_01	4.000000	0.000010	4.000000
AP_PolyPlane_01	4.000000	0.000010	4.000000
ArabicCoffeePlate_01	0.395949	0.036099	0.401823
ArabicCoffeeTable_01_A	0.401356	0.840498	0.427158
ArabicCoffeeTable_01_B	0.401356	0.840498	0.427158
Architecture_01_A	21.540098	10.631657	20.899361
Architecture_01_B	13.604009	13.984554	12.897689
Architecture_01_C	28.194191	26.115211	15.468593
Architecture_01_D	15.454197	15.804816	10.582239
Architecture_01_E	15.445978	15.076122	13.603539
Architecture_01_F	30.826653	15.302513	10.290502
Architecture_01_G	21.322323	19.153112	15.693096
Architecture_01_H	11.667386	13.823275	10.414704
Architecture_01_I	21.912102	19.665146	13.104714
Architecture_01_J	20.724812	11.722638	20.802013
Architecture_01_K	13.684016	7.623934	10.272632
Architecture_01_L	23.201031	11.595489	19.561150
Architecture_01_M	15.613586	18.424917	20.823774
Architecture_01_N	28.835960	11.209158	10.620388
Architecture_01_O	15.898314	11.334424	13.723042
Architecture_01_P	26.372862	13.525530	19.781792
Architecture_01_Q	30.840416	15.392141	13.651084
ArchwayFoundation_01	2.913851	1.586190	6.145365
Area02_Office_01	22.908485	8.834576	19.588366
Area02_Restroom_01	12.216558	8.230521	9.680001
Area02_Scaffolding_01	18.461500	11.586926	10.678682
Area02_Structure_01	28.434242	20.485001	25.874205
Area03_Building_01	59.957874	53.910446	59.833374
Area03_Building_04	43.839783	48.275028	59.201038
Area03_Building_06	21.470160	64.573769	32.990051
Area03_GarbageRoom_01	9.278559	7.048867	5.293146
Area03_Restroom_01	12.216558	8.230521	9.680001
Area03_Restroom_02	12.216558	8.230521	9.680001
Area04_Building_01	75.323166	49.593094	59.091415
Area04_Building_02	61.941059	54.066944	64.031425
Area04_Building_03	78.894226	28.224674	46.831402
Area04_Building_04	22.456673	79.843910	33.007130
Area04_Building_06	46.997833	74.220398	59.091415
Area04_Building_08	36.903076	38.600109	29.093231
Area04_Scaffolding_01	44.805405	9.013851	60.244289
Area04_Scaffolding_02	45.969105	9.333852	20.731173
Area04_Tenement_01_1920x1728_C90_A_01	20.030207	20.433050	18.801744
Area05_TenementHouse_01_832x1344_A_02	8.620004	14.807666	14.357093
Area05_TenementHouse_01_832x1344_A_03	8.645989	15.660238	14.249022
Area05_Tenement_01_1920x1728_C90_A_01	20.124943	20.433050	17.280634
Area05_Tenement_01_1920x1728_C90_A_02	20.124943	20.691950	18.801744
Area05_Tenement_01_832x1728_A_02	8.525249	19.307556	18.740000
Area06_Building_01_A	34.282322	30.381680	62.762321
Area06_Building_01_B	62.239998	30.175119	44.742493
Area06_Building_02_A	11.819991	18.555223	17.579998
Area06_Building_02_B	30.866833	32.823940	40.953308
Area06_Building_03_A	11.180179	19.307545	16.533003
Area06_Building_03_B	30.657850	32.711727	28.298185
Area06_Building_04_B	55.200062	34.031727	32.547981
Area06_Building_05_A	8.525249	19.307556	16.720003
Area06_Building_05_B	28.373875	35.859428	41.173882
Area06_Building_06_B	55.200062	34.031727	32.547981
Area06_TenementHouse_01_832x1344_A_01	8.620004	15.660239	14.249023
Area06_TenementHouse_01_832x1344_A_02	8.620004	15.660239	12.632529
Area06_Tenement_01_1920x1728_C90_A_01	20.124943	18.560003	17.280634
Area06_Tenement_01_1920x1728_C90_A_02	20.585768	20.691950	17.280634
Area07_BlockBuilding_01	28.449606	38.677021	40.923347
Area07_Building_01	11.819991	18.555223	16.940208
Area07_Building_01_B	23.763182	64.585083	33.014744
Area07_Building_02_B	23.763182	64.585083	33.014744
Area07_Building_03_A	8.525249	18.560019	16.720003
Area07_Building_03_B	23.763176	64.585083	33.354729
Area07_Building_04	8.620004	15.660239	12.230083
Area07_StorageFacility_01	22.046673	13.771681	22.049547
Area07_TenementHouse_01_832x1344_A_01	8.620004	15.660239	13.314307
Area07_TenementHouse_01_832x1344_A_02	9.149668	15.660239	15.024519
Area07_TenementHouse_01_832x1344_A_03	8.620004	15.660239	13.512589
Area07_TenementHouse_01_832x1344_A_04	8.620004	15.660239	13.314311
Area07_TenementHouse_01_832x1344_A_05	8.620004	15.660239	13.314311
Area07_Tenement_01_1920x1728_C90_A_01	20.030207	20.691950	18.801744
Area07_Tenement_01_1920x1728_C90_A_02	20.030207	20.691950	18.801744
Area08_Building_01_A	35.766335	33.040714	42.655228
Area08_Building_01_B	21.470160	64.594826	32.990051
Area08_Building_02	20.095091	24.353321	13.836221
Area08_Building_05	11.180179	19.307545	16.533003
Area08_Building_06	8.525249	18.560019	16.642769
Area08_Building_07	20.030207	20.433050	16.870008
Area08_Building_07_PropsA	19.814676	18.560003	18.510323
Area08_Building_08	8.620004	15.660239	12.230083
Area08_Building_08_PropsA	8.246738	12.322012	12.652857
Area08_Building_09_PropsDressingA	8.525249	19.307556	17.785387
Area08_Building_10_Destroyed	11.819991	18.555223	17.428608
Area08_Building_11	8.525249	18.560019	16.720003
Area10_Building_01_B	60.449570	26.344273	54.049591
Area10_Building_01_OOB	60.368233	35.933380	47.141197
Area10_Building_02_OoB	66.378189	28.193398	43.082325
AreaTrigger	260.492371	260.617157	258.234314
Area_01_Base	104.003059	36.020191	84.276352
Area_01_MechanicalRoom_01	42.652977	11.250188	10.555567
Area_02_Base	99.801735	85.120026	80.171967
Area_02_SetDressing	98.921326	18.107235	74.735397
Area_03_base	90.461182	96.568275	91.240425
Area_04_Base	215.962219	103.861443	410.841003
ArrabicCoffeeTable_01	0.402566	0.875664	0.431516
ArtExhibitBase_128x128x128_01	1.283246	1.281921	1.282651
ArtichokeCluster_01	0.326932	0.290954	0.507739
Artichoke_01	0.310568	0.136246	0.155910
Art_Structure_01	6.036532	4.531347	15.745757
Art_Structure_Bench_Divider_01	0.065683	0.257956	0.356705
AshTrayCigarettes_01	0.102663	0.045971	0.108709
AshTray_01	0.116641	0.059432	0.118109
AshTray_01_B	0.116641	0.044383	0.118109
AshTray_01_VFX	0.116641	0.059432	0.118109
AsphaltBrokenSmall_01	4.102424	0.069693	3.978132
AsphaltBrokenThick_01_512x512	7.593075	2.853928	6.846832
AsphaltBrokenThick_01_512x512_CullSonner	7.593075	2.853928	6.846832
AsphaltBroken_01_512x256	6.825581	0.008703	3.161939
AsphaltBroken_01_512x512	7.363864	0.056063	6.356902
AsphaltChunks_01	3.217567	0.201518	1.320603
AsphaltChunks_01_B	3.217567	0.201518	1.320603
AsphaltChunks_01_Snow	3.217567	0.201518	1.320603
AsphaltChunks_02	1.769806	0.224875	1.785330
AsphaltChunks_02_B	1.769806	0.224875	1.785330
AsphaltChunks_03	1.397513	0.315238	1.030789
AsphaltChunks_03_B	1.397513	0.315238	1.030789
AsphaltDebris_02	2.854383	1.113280	4.502812
AsphaltDebris_03	3.935818	1.256336	3.352433
AsphaltRubblePile_01	4.053807	0.859572	4.592885
ATMMachine_01	0.540749	1.376800	0.666373
AttackerHQAll_01	79.175209	29.328945	85.154724
AutoCapture_Terrain	2.087648	0.576043	2.082561
AviationLight_01	0.252711	10.049996	0.252712
AwningCommercial_01	3.582131	1.541988	2.238685
AwningCommercial_02	2.223009	0.932808	0.460857
AwningLamps_02	0.709407	1.204855	3.043694
AwningLamps_03	0.750013	1.353704	3.079024
AwningLargeFlat_01	5.120000	2.652236	2.529713
AwningPlasticSheet_01	2.560001	0.035809	2.473034
AwningPlastic_01_256	2.560000	0.621456	2.543990
AwningPlastic_01_256_MP_Battery	2.559999	0.621456	2.543989
AwningPlastic_01_512	5.119980	0.616272	2.546296
AwningPlastic_01_512_B	5.119980	0.616272	2.546296
AwningPlastic_01_512_MP_Battery	5.119978	0.616272	2.546295
AwningSmallShort_01	2.651074	3.001545	1.141142
AwningWoodO01_128	1.615652	0.842509	0.705557
AwningWoodO02_256	2.886947	0.848887	0.709407
Awning_02_A	3.276459	3.278997	2.607075
Awning_02_B	3.276459	3.278997	2.607075
Awning_02_C	4.580606	3.277995	2.612900
Awning_02_D	4.580606	3.277995	2.612900
BackdropMeshes	20480.000000	891.044189	20480.000000
BackdropMountains_01	1.000000	1.000000	1.000000
Backdrop_01	147309.781250	5621.147461	112706.625000
Backpack_01	0.321674	0.591620	0.212580
Backpack_01_B	0.432701	0.556918	0.446332
Backpack_02	0.445420	0.635260	0.462872
Backpack_03	0.522616	0.267282	0.609961
BackroomStorageShe01	3.206581	3.119156	0.815847
BackroomStorageShe01_B	3.206581	3.119156	0.815847
Badlands_Flankbus	4.509491	4.084944	14.014626
BagTarp_01	0.495393	0.398357	0.748257
BalconyBayWindow_01	3.831333	3.840618	1.714069
BalconyWood_03	3.008275	3.520000	1.680222
BalconyWood_04	3.920000	1.500011	1.334490
BallGo01	0.040895	0.043000	0.043000
BananaCluster_01	0.268878	0.153934	0.188013
BananaPlant_01_S_A	1.073353	1.048253	1.147578
BananaPlant_01_S_B	1.129593	1.642982	1.159192
BananaPotted_01_S_A	1.167200	1.537919	1.176794
BananaPotted_01_S_B	1.073353	1.465133	1.147578
BananaPotted_01_S_C	1.380666	2.209003	1.457290
BananaPotted_02_S_A	1.129593	2.070112	1.159192
BananaPotted_02_S_B	1.129593	2.127165	1.159192
BananaWi01_M	1.768879	2.059036	1.882340
BananaWildPotted_01_M	1.768879	2.608905	1.882340
BananaWildPotted_01_M_A_Oriental	1.768879	2.619074	1.882340
Banana_01	0.051493	0.049077	0.257964
BannerFlag_01_Static	3.071204	1.649020	0.000010
BannerFlag_01_Static_OnlyDamageProcess	3.071204	1.649020	0.000010
BannerFlag_02_Static_OnlyDamageProcess	0.762878	1.529835	0.000874
BannerPole_01	0.659437	1.571791	0.095134
BannerPole_02	1.183781	1.570285	0.116645
BannerWall_01	0.541977	1.574143	0.100000
BarbedWire_01_A	2.681864	1.359429	1.305588
BarbedWire_01_B	2.847825	2.053056	1.571233
BarbedWire_01_C	2.681864	1.359429	1.305588
BarCounterCabinet_01_A	1.280000	0.910000	0.610658
BarCounterCabinet_01_B	1.280000	0.910000	0.611150
BarCounterCabinet_03_128	1.344753	1.198766	0.642620
BarCounterCabinet_03_256	2.603857	1.200674	0.638999
BarCounterCorner_01	1.561764	1.193536	1.567620
BarCounterCorner_01_B	1.561764	1.328167	1.567678
BarCounterCorner_03	0.679216	1.200878	0.679216
BarCounterDivider_03_128	1.349055	1.202289	0.642648
BarCounterDivider_03_256	2.628227	1.200311	0.643688
BarCounterDrywall_01_A_Bottom_192x16x16	0.303445	0.192103	1.937590
BarCounterDrywall_01_A_Side_128x32x16	0.455376	0.170898	1.284079
BarCounterDrywall_01_A_Side_64x32x16	0.549421	0.172701	0.666312
BarCounterEndLeft_01	0.859095	1.200000	0.991304
BarCounterEndRight_01	0.859095	1.200000	0.991304
BarCounterFridge_01	1.240280	0.803984	0.605670
BarCounterGlassFridge_01	1.268285	0.897749	0.583124
BarCounterWorkStation_01	2.520000	0.980000	0.764556
BarCounter_01_128	1.280000	1.200000	0.947599
BarCounter_01_128_B	1.281430	1.448492	0.947599
BarCounter_01_256	2.561282	1.200000	0.947624
BarCounter_01_256_B	2.568074	1.395636	0.947624
BarCounter_01_512	5.120000	1.200000	0.955491
BarCounter_01_512_B	5.127603	1.332547	0.955491
BarCounter_02	1.151860	1.350000	3.672288
BarebulbPendant_01	0.107479	0.766463	0.107572
BarGantry_01	1.400000	0.879615	0.472892
Barn_01	9.406264	7.079021	23.194292
Barn_01_Mirrored	9.406264	7.079021	24.782906
Barn_01_Props	9.406264	7.079021	24.386877
Barn_01_Props_Mirrored	9.860466	7.079021	23.753078
BarrackCylindricalDoorSmallFrame_01	0.120000	2.600149	1.280000
BarrackCylindricalDoorSmall_01	1.120137	2.460000	0.257181
BarrackCylindrical_Airstrip_01_LightingProps	25.863543	5.414667	13.508712
BarrackCylindrical_AirStrip_01_Props	17.279713	4.427811	14.165545
BarrackCylindrical_Airstrip_01_Props_B	17.279713	4.427811	14.165545
BarrackCylindrical_AirStrip_01_Props_B_MP	19.341141	3.489660	14.195018
BarrackFoundation_01	6.590141	0.489861	13.799927
BarrackStair_01	1.767151	2.625441	3.073969
BarrackStair_01_B	2.349871	7.941298	11.180737
Barrack_01_A	9.993399	6.217775	17.365025
Barrack_01_A_1_Var_01	1.260940	0.082568	4.104505
Barrack_01_A_Firestorm	9.993399	6.217775	17.365025
Barrack_01_A_Outskirts	7.799358	6.217774	17.365025
Barrack_01_A_Props	9.460753	6.217775	17.365025
Barrack_01_A_Props_A_Golmud	6.085710	3.561245	13.304285
Barrack_01_A_Props_B	9.460753	6.217775	17.365025
Barrack_01_A_Props_C	9.460753	6.217775	17.365025
Barrack_01_A_Props_D	9.460753	6.217775	17.365025
Barrack_01_A_Props_E	9.460753	6.217775	17.365025
Barrack_01_A_Props_F	0.154135	0.244041	0.123637
Barrack_01_A_Tungsten_1	9.993399	6.217775	17.365025
Barrack_01_B	6.371311	4.207075	14.586964
Barrack_01_B_Outskirts	6.371311	4.207075	14.586964
Barrack_01_Props_B	6.082802	3.565999	13.310764
Barrack_01_Props_B_Golmud	6.122919	3.520223	12.631356
Barrack_01_Props_C	6.126116	3.560755	13.420434
Barrack_02	14.409431	4.816466	6.805670
Barrack_02_A_Props	11.180737	7.941298	2.349872
Barrack_02_A_SecurityCheckPoint	14.409429	4.816466	6.805669
Barrack_02_B	14.409429	4.816466	6.805669
Barrack_02_B_01_MP_Badlands	14.409429	6.446433	9.270562
Barrack_02_B_02_MP_Badlands	14.409429	6.446433	9.270562
Barrack_02_B_03_MP_Badlands	14.409429	6.446433	9.270562
Barrack_02_B_03_MP_Contaminated	14.409429	6.446433	9.270562
Barrack_02_B_04_MP_Badlands	14.409429	6.446433	9.270562
Barrack_02_B_05_MP_Badlands	14.409429	6.446433	9.270562
Barrack_02_B_06_MP_Badlands	14.409429	6.446433	9.270562
Barrack_02_B_Props	13.064479	2.707949	5.396051
Barrack_02_B_Props_B	13.064479	2.574466	5.396051
Barrack_02_B_Props_C	13.064479	2.343150	5.358935
Barrack_02_B_Props_D	13.064479	2.311766	5.241415
Barrack_02_B_Props_E	13.083965	2.470295	5.241416
Barrack_02_B_Props_F	13.063678	2.309987	5.275144
Barrack_02_C	13.858632	9.179732	6.288682
Barrack_02_D	13.443364	4.121536	5.602075
Barrack_02_E	8.526178	7.941298	14.416997
Barrack_02_F	14.424999	6.290585	9.230110
Barrack_02_LightingProps	7.184539	0.081651	0.103908
BarrelBurned_01	0.584182	0.999158	0.588856
BarrelLabratory_01_115	0.679583	1.149241	0.646322
BarrelLabratory_01_115_DDPF	0.679583	1.149241	0.646322
BarrelLabratory_01_64	0.500380	0.640536	0.475890
BarrelLabratory_01_cluster_A_2x3	2.037521	1.149241	1.364272
BarrelLabratory_01_cluster_A_2x3_DDPF	2.037521	1.149241	1.364272
BarrelLabratory_01_cluster_B_2x3x2	2.042788	2.238842	1.367851
BarrelLabratory_01_cluster_B_2x3x2_DDPF	2.042788	2.238842	1.367851
BarrelOilExplosive_01	0.652468	0.924376	0.668507
BarrelOilExplosive_01_cluster	1.997613	0.933982	1.255520
BarrelOilExplosive_01_cluster_A_DDPF	1.415780	0.933982	1.224995
BarrelOilExplosive_01_cluster_B	1.415780	0.933982	1.224995
BarrelOilExplosive_01_cluster_B_DDPF	1.997613	0.933982	1.255520
BarrelOilExplosive_01_DDPF_B	0.652468	0.924376	0.668507
BarrelOilFire_01	0.626768	0.878446	0.626768
BarrelOil_01	2.325567	1.862818	5.115246
BarrelOil_01_A	3.335596	0.924376	1.343013
BarrelOil_01_B	1.966172	0.924376	1.343224
BarrelOil_01_C	1.329896	0.924376	1.338060
BarrelOil_01_D	0.652468	0.924376	0.668507
BarrelOil_01_group_04	2.156469	0.996838	2.233558
BarrelOil_01_group_05	1.759923	1.227601	2.462940
BarrelOil_01_group_06	0.729665	0.924376	1.397942
BarrelOil_03	0.681604	0.937149	0.648244
Barrels_01	1.972691	1.044372	1.910596
BarrelTools_01	0.749515	1.786842	0.827977
BarrelWater_01	1.639369	1.968986	1.428287
BarricadeboardsWood_01_A	1.263619	2.336284	0.058855
BarricadeboardsWood_01_B	1.264388	2.336285	0.053389
BarrierBlockConcreteRound_01	1.217627	1.179095	1.217626
BarrierBlockConcrete_01_256x120	2.640820	1.248399	0.634932
BarrierBlockConcrete_01_256x180_A	2.662729	1.855407	0.634932
BarrierBlockConcrete_01_256x60	2.630115	0.655407	0.634932
BarrierBlockConcrete_02_128_120_B	1.299332	1.200000	0.682422
BarrierBlockConcrete_02_128_180	1.312768	1.800000	0.684323
BarrierBlockConcrete_02_128_60	1.279999	0.600000	0.640001
BarrierBlockConcrete_03_128_120	1.280000	1.199999	1.280000
BarrierConcreteRoadSide_01_A	1.298550	0.611027	0.503473
BarrierConcreteRoadSide_01_A_DDPF	1.298550	0.611027	0.503473
BarrierConcreteRoadSide_01_B	1.298550	0.611027	0.503473
