godot_proxy	game_mesh	score	tier
Apple_01	Apple_01	1.00	manual
ArabicCoffeePlate_01	ArabicCoffeePlate_01	1.00	manual
Architecture_01_B	bd_seu_architecture_01_i	1.0	auto-dims
Architecture_01_C	bd_seu_architecture_01_k	1.0	auto-dims
Architecture_01_G	bd_seu_architecture_01_g	1.0	exact
Architecture_01_H	bd_seu_architecture_01_h	1.0	exact
Architecture_01_I	bd_seu_architecture_01_n	1.0	auto-dims
Architecture_01_J	bd_seu_architecture_01_j	1.0	exact
Architecture_01_K	bd_seu_architecture_01_j	1.0	auto-dims
Architecture_01_L	bd_seu_architecture_01_l	1.0	exact
Architecture_01_M	bd_seu_architecture_01_m	1.0	exact
Architecture_01_N	bd_seu_architecture_01_o	1.0	auto-dims
Architecture_01_O	bd_seu_architecture_01_p	1.0	auto-dims
Architecture_01_P	bd_seu_architecture_01_q	1.0	auto-dims
Architecture_01_Q	bd_seu_architecture_01_r	1.0	auto-dims
ArtExhibitBase_128x128x128_01	com_artexhibitbase_128x128x128_01	1.0	exact
Art_Structure_01	br_euu_art_structure_01	1.0	exact
Art_Structure_Bench_Divider_01	euu_art_structure_bench_divider_01	1.0	exact
ArtichokeCluster_01	ArtichokeCluster_01	1.00	manual
Artichoke_01	Artichoke_01	1.00	manual
AshTrayCigarettes_01	AshTrayCigarettes_01	1.00	manual
AshTray_01	AshTray_01	1.00	manual
AsphaltChunks_01	AsphaltChunks_01	1.00	manual
AsphaltChunks_01_Snow	naf_asphaltchunks_01_snow	1.0	exact
AsphaltChunks_02	AsphaltChunks_02	1.00	manual
AsphaltChunks_03	AsphaltChunks_03	1.00	manual
AutoCapture_Terrain	autocapture_terrain	1.0	exact
AwningCommercial_01	euu_awningcommercial_01	1.0	exact
AwningCommercial_02	AwningCommercial_02	1.00	manual
AwningLargeFlat_01	AwningLargeFlat_01	1.00	manual
AwningPlasticSheet_01	AwningPlasticSheet_01	1.00	manual
AwningPlastic_01_256	AwningPlastic_01_256	1.00	manual
AwningPlastic_01_512	AwningPlastic_01_512	1.00	manual
AwningSmallShort_01	seu_awningsmallshort_01	1.0	auto-dims
Awning_02_A	Awning_02_A	1.00	manual
Awning_02_B	Awning_02_B	1.00	manual
BackdropMountains_01	BackdropMountains_01	1.00	manual
Backpack_01	com_backpack_01	1.0	exact
Backpack_02	mil_backpack_02	1.0	exact
Backpack_03	mil_backpack_03	1.0	exact
BagTarp_01	com_bagtarp_01	1.0	exact
BalconyBayWindow_01	BalconyBayWindow_01	1.00	manual
BalconyWood_03	BalconyWood_03	1.00	manual
BalconyWood_04	BalconyWood_04	1.00	manual
BananaCluster_01	BananaCluster_01	1.00	manual
BananaPlant_01_S_A	BananaPlant_01_S_A	1.00	manual
BananaPlant_01_S_B	BananaPlant_01_S_B	1.00	manual
BananaWi01_M	BananaWi01_M	1.00	manual
Banana_01	Banana_01	1.00	manual
BannerFlag_01_Static	BannerFlag_01_Static	1.00	manual
BannerFlag_01_Static_OnlyDamageProcess	BannerFlag_01_Static_OnlyDamageProcess	1.00	manual
BannerFlag_02_Static_OnlyDamageProcess	BannerFlag_02_Static_OnlyDamageProcess	1.00	manual
BannerPole_01	BannerPole_01	1.00	manual
BannerPole_02	com_bannerpole_02	1.0	exact
BannerWall_01	com_bannerwall_01	1.0	exact
BarCounterCabinet_01_A	com_barcountercabinet_01_a	1.0	exact
BarCounterCabinet_01_B	com_barcountercabinet_01_b	1.0	exact
BarCounterCabinet_03_128	com_barcountercabinet_03_128	1.0	exact
BarCounterCabinet_03_256	com_barcountercabinet_03_256	1.0	exact
BarCounterCorner_01	com_barcountercorner_01	1.0	exact
BarCounterCorner_03	com_barcountercorner_03	1.0	exact
BarCounterDivider_03_128	com_barcounterdivider_03_128	1.0	exact
BarCounterDivider_03_256	com_barcounterdivider_03_256	1.0	exact
BarCounterDrywall_01_A_Bottom_192x16x16	com_barcounterdrywall_01_a_bottom_192x16x16	1.0	exact
BarCounterDrywall_01_A_Side_128x32x16	com_barcounterdrywall_01_a_side_128x32x16	1.0	exact
BarCounterDrywall_01_A_Side_64x32x16	com_barcounterdrywall_01_a_side_64x32x16	1.0	exact
BarCounterEndLeft_01	com_barcounterendleft_01	1.0	exact
BarCounterEndRight_01	com_barcounterendright_01	1.0	exact
BarCounterFridge_01	com_barcounterfridge_01	1.0	exact
BarCounterGlassFridge_01	com_barcounterglassfridge_01	1.0	exact
BarCounterWorkStation_01	com_barcounterworkstation_01	1.0	exact
BarCounter_01_128	com_barcounter_01_128	1.0	exact
BarCounter_01_256	com_barcounter_01_256	1.0	exact
BarCounter_01_512	com_barcounter_01_512	1.0	exact
BarCounter_02	com_barcounter_02	1.0	exact
BarGantry_01	com_bargantry_01	1.0	exact
BarShelvesColumns_01	com_barshelvescolumns_01	1.0	exact
BarShelvesColumns_02	com_barshelvescolumns_02	1.0	exact
BarShelves_01	com_barshelves_01	1.0	exact
BarShelves_02	com_barshelves_02	1.0	exact
BarStool_01	ba_com_barstool_01	1.0	exact
BarTableLong_01	com_bartablelong_01	1.0	exact
Barn_01	Barn_01	1.00	manual
BarrackCylindricalDoorSmallFrame_01	mil_barrackcylindricaldoorsmallframe_01	1.0	exact
BarrackCylindricalDoorSmall_01	mil_barrackcylindricaldoorsmall_01	1.0	auto-dims
BarrackStair_01_B	mil_barrackstair_01_b	1.0	exact
Barrack_01_A	Barrack_01_A	1.00	manual
Barrack_02_B	Barrack_02_B	1.00	manual
BarrelBurned_01	BarrelBurned_01	1.00	manual
BarrelLabratory_01_115	ind_barrellabratory_01_115	1.0	exact
BarrelLabratory_01_115_DDPF	dc_ind_barrellabratory_01_115	1.0	exact
BarrelLabratory_01_64	ind_barrellabratory_01_64	1.0	exact
BarrelLabratory_01_cluster_A_2x3	ind_barrellabratory_01_cluster_a_2x3	1.0	exact
BarrelLabratory_01_cluster_A_2x3_DDPF	ind_barrellabratory_01_cluster_a_2x3	1.0	exact
BarrelLabratory_01_cluster_B_2x3x2	ind_barrellabratory_01_cluster_b_2x3x2	1.0	exact
BarrelLabratory_01_cluster_B_2x3x2_DDPF	ind_barrellabratory_01_cluster_b_2x3x2	1.0	exact
BarrelOilExplosive_01	BarrelOilExplosive_01	1.00	manual
BarrelOilExplosive_01_cluster_A_DDPF	BarrelOilExplosive_01_cluster_A_DDPF	1.00	manual
BarrelOilExplosive_01_cluster_B	BarrelOilExplosive_01_cluster_B	1.00	manual
BarrelOilExplosive_01_cluster_B_DDPF	BarrelOilExplosive_01_cluster_B_DDPF	1.00	manual
BarrelOilFire_01	BarrelOilFire_01	1.00	manual
BarrelOil_01	BarrelOil_01	1.00	manual
BarrelOil_01_A	BarrelOil_01_A	1.00	manual
BarrelOil_01_B	BarrelOil_01_B	1.00	manual
BarrelOil_01_C	BarrelOil_01_C	1.00	manual
BarrelOil_01_group_04	BarrelOil_01_group_04	1.00	manual
BarrelOil_01_group_05	BarrelOil_01_group_05	1.00	manual
BarrelOil_01_group_06	BarrelOil_01_group_06	1.00	manual
BarrelOil_03	BarrelOil_03	1.00	manual
BarrelWater_01	com_barrelwater_01	1.0	exact
BarricadeboardsWood_01_A	BarricadeboardsWood_01_A	1.00	manual
BarricadeboardsWood_01_B	BarricadeboardsWood_01_B	1.00	manual
BarrierBlockConcreteRound_01	mil_barrierblockconcreteround_01	1.0	exact
BarrierBlockConcrete_01_256x60	mil_barrierblockconcrete_01_256x60	1.0	exact
BarrierBlockConcrete_02_128_60	mil_barrierblockconcrete_02_128_60	1.0	exact
BarrierBlockConcrete_03_128_120	BarrierBlockConcrete_03_128_120	1.00	manual
BarrierConcreteRoadSide_01_A	BarrierConcreteRoadSide_01_A	1.00	manual
BarrierConcreteRoadSide_01_A_DDPF	BarrierConcreteRoadSide_01_A_DDPF	1.00	manual
BarrierConcreteRoadSide_01_B	BarrierConcreteRoadSide_01_B	1.00	manual
BarrierConcreteRoadSide_01_B_DDPF	BarrierConcreteRoadSide_01_B_DDPF	1.00	manual
BarrierConcreteRoadSide_02_A	cas_barrierconcreteroadside_02_a	1.0	exact
BarrierConcreteRoadSide_02_B	cas_barrierconcreteroadside_02_b	1.0	exact
BarrierConcreteWall_01_160x385	BarrierConcreteWall_01_160x385	1.00	manual
BarrierConcreteWall_01_192x320_A_DDPF	BarrierConcreteWall_01_192x320_A_DDPF	1.00	manual
BarrierConcreteWall_02_128x385	mil_barrierconcretewall_02_128x385	1.0	exact
BarrierConstruction_01_256_120	BarrierConstruction_01_256_120	1.00	manual
BarrierConstruction_01_256_120_DDPF	BarrierConstruction_01_256_120_DDPF	1.00	manual
BarrierHesco_01_128x120	BarrierHesco_01_128x120	1.00	manual
BarrierHesco_01_128x120_DDPF	BarrierHesco_01_128x120_DDPF	1.00	manual
BarrierHesco_01_128x240	BarrierHesco_01_128x240	1.00	manual
BarrierHesco_01_128x240_DDPF	BarrierHesco_01_128x240_DDPF	1.00	manual
BarrierHesco_01_256x240	mil_barrierhesco_01_256x240	1.0	exact
BarrierHesco_01_64x60	BarrierHesco_01_64x60	1.00	manual
BarrierHesco_01_64x60_DDPF	BarrierHesco_01_64x60_DDPF	1.00	manual
BarrierJerseyEnd_03_256x80	BarrierJerseyEnd_03_256x80	1.00	manual
BarrierJersey_01_256x124	BarrierJersey_01_256x124	1.00	manual
BarrierJersey_02_256_120	BarrierJersey_02_256_120	1.00	manual
BarrierJersey_03_256x80	BarrierJersey_03_256x80	1.00	manual
BarrierPlastic_01	com_barrierplastic_01	1.0	exact
BarrierStoneBlock_01_A	BarrierStoneBlock_01_A	1.00	manual
BarrierStoneBlock_01_B	BarrierStoneBlock_01_B	1.00	manual
BarrierStoneBlock_01_C	BarrierStoneBlock_01_C	1.00	manual
BarrierStoneBlock_01_D	BarrierStoneBlock_01_D	1.00	manual
BarrierStoneBlock_01_E	BarrierStoneBlock_01_E	1.00	manual
BarrierStoneBlock_01_F	BarrierStoneBlock_01_F	1.00	manual
BarrierStoneBlock_01_G	BarrierStoneBlock_01_G	1.00	manual
BarrierStoneBlock_01_H	BarrierStoneBlock_01_H	1.00	manual
BaseballDugout_01_Pillar_Back	euu_baseballdugout_01_pillar_back	1.0	exact
BasketWicker_01	BasketWicker_01	1.00	manual
BasketballNet_01	euu_basketballnet_01	1.0	auto-dims
Basketball_01	Basketball_01	1.00	manual
BathroomCabinet_01	com_bathroomcabinet_01	1.0	exact
BathroomKit_01A	com_bathroomkit_01a	1.0	exact
BathroomSink_02	com_bathroomsink_02	1.0	exact
Bathtub_02	Bathtub_02	1.00	manual
BeachLoungeChair_01	com_beachloungechair_01	1.0	exact
BeachSign_01	com_beachsign_01	1.0	exact
BeachTrailStairs_01	com_beachtrailstairs_01	1.0	exact
BeamRefineryConnector_01_32x32	ind_beamrefineryconnector_01_32x32	1.0	exact
BeamRefineryConnector_01_CV180_48x64	ind_beamrefineryconnector_01_cv180_48x64	1.0	exact
BeamRefineryConnector_01_CV90_48x48	ind_beamrefineryconnector_01_cv90_48x48	1.0	exact
BeamRefineryFoundation_01_1024x1024x320	ind_beamrefineryfoundation_01_1024x1024x320	1.0	exact
BeamRefineryFoundation_01_1152x128x320	ind_beamrefineryfoundation_01_1152x128x320	1.0	exact
BeamRefineryFoundation_01_128x128x320	ind_beamrefineryfoundation_01_128x128x320	1.0	exact
BeamRefineryFoundation_01_144x144x320	ind_beamrefineryfoundation_01_144x144x320	1.0	exact
BeamRefineryFoundation_01_1536x128x320	ind_beamrefineryfoundation_01_1536x128x320	1.0	exact
BeamRefineryFoundation_01_512x128x320	ind_beamrefineryfoundation_01_512x128x320	1.0	exact
BeamRefineryFoundation_01_80x80x320	ind_beamrefineryfoundation_01_80x80x320	1.0	exact
BeamRefinery_01_A_32x32x256	ind_beamrefinery_01_a_32x32x256	1.0	exact
BeamRefinery_01_A_32x32x320	ind_beamrefinery_01_a_32x32x320	1.0	exact
BeamRefinery_01_A_32x32x416	ind_beamrefinery_01_a_32x32x416	1.0	exact
BeamRefinery_01_A_32x32x704	ind_beamrefinery_01_a_32x32x768	1.0	auto-dims
BeamRefinery_01_A_32x32x768	ind_beamrefinery_01_a_32x32x768	1.0	exact
BeamRefinery_01_B_32x32x256	ind_beamrefinery_01_b_32x32x256	1.0	exact
BeamRefinery_01_B_32x32x512	ind_beamrefinery_01_b_32x32x512	1.0	exact
BeamRefinery_01_F_32x256	ind_beamrefinery_01_f_32x256	1.0	exact
BeamRefinery_01_F_32x512	ind_beamrefinery_01_f_32x512	1.0	exact
BeamRefinery_01_F_CV90_128x128	ind_beamrefinery_01_f_cv90_128x128	1.0	exact
BeamRefinery_01_F_CV90_192x192	ind_beamrefinery_01_f_cv90_192x192	1.0	exact
BeamRefinery_UndergroundCombined_01_B	ind_beamrefinery_undergroundcombined_01_b	1.0	exact
BeamsConcrete_01_A_01	BeamsConcrete_01_A_01	1.00	manual
BeamsConcrete_01_A_02	BeamsConcrete_01_A_02	1.00	manual
BeamsConcrete_01_A_Ridge	BeamsConcrete_01_A_Ridge	1.00	manual
BeamsConcrete_01_B_01	BeamsConcrete_01_B_01	1.00	manual
BeamsConcrete_01_B_02	BeamsConcrete_01_B_02	1.00	manual
BeamsConcrete_01_B_Ridge	BeamsConcrete_01_B_Ridge	1.00	manual
BeamsConcrete_01_C_01	BeamsConcrete_01_C_01	1.00	manual
BeamsConcrete_01_C_02	BeamsConcrete_01_C_02	1.00	manual
BeamsConcrete_01_C_03	BeamsConcrete_01_C_03	1.00	manual
BeamsConcrete_01_C_Ridge	BeamsConcrete_01_C_Ridge	1.00	manual
BeamsConcrete_01_D_01	BeamsConcrete_01_D_01	1.00	manual
BeamsConcrete_01_D_02	BeamsConcrete_01_D_02	1.00	manual
BeamsConcrete_01_D_03	BeamsConcrete_01_D_03	1.00	manual
BeamsConcrete_01_D_Ridge	BeamsConcrete_01_D_Ridge	1.00	manual
BeamsConcrete_01_Perpendicular	BeamsConcrete_01_Perpendicular	1.00	manual
BeamsWarehouseCeiling_01_A_1024x1024	ind_beamswarehouseceiling_01_a_1024x1024	1.0	exact
BedFrame_02	BedFrame_02	1.00	manual
BedMattress_02	com_bedmattress_02	1.0	exact
BedSetBlanket_01_A	com_bedsetblanket_01_b	1.0	auto-dims
BedSetBlanket_01_B	com_bedsetblanket_01_c	1.0	auto-dims
BedSetBlanket_01_C	com_bedsetblanket_01_a	1.0	auto-dims
BedSetPillow_01	com_bedsetpillow_01	1.0	exact
BedSetSleepmat_01	com_bedsetsleepmat_01	1.0	exact
BedWornFrame_01	com_bedwornframe_01	1.0	exact
BedWornMattress_01	com_bedwornmattress_01	1.0	exact
Bed_01	Bed_01	1.00	manual
BeddingRural_01_A	BeddingRural_01_A	1.00	manual
BeddingRural_01_B	BeddingRural_01_B	1.00	manual
BeddingRural_01_C	BeddingRural_01_C	1.00	manual
BeddingRural_01_D	cas_beddingrural_01_c	1.0	auto-dims
Bedding_Set_01_Sheet	cas_bedding_set_01_sheet	1.0	exact
Bedding_Set_02_A_02	Bedding_Set_02_A_02	1.00	manual
Bedding_Set_02_B	cas_bedding_set_02_b	1.0	exact
Bedding_Set_02_B_02	cas_bedding_set_02_b_02	1.0	exact
BeerBoxStack_01_A	BeerBoxStack_01_A	1.00	manual
BeerBoxStack_01_B	BeerBoxStack_01_B	1.00	manual
BeerTap_01	com_beertap_01	1.0	exact
BenchRural_01	com_benchrural_01	1.0	exact
BenchWaterfront_01	euu_benchwaterfront_01	1.0	auto-dims
BenchWood_01	BenchWood_01	1.00	manual
BenchWooden_01_B	euu_benchwooden_01_b	1.0	exact
Bench_01	Bench_01	1.00	manual
BeverageFridge_01_A	BeverageFridge_01_A	1.00	manual
BeverageFridge_01_B	BeverageFridge_01_B	1.00	manual
BeverageFridge_01_C	com_beveragefridge_01_b	1.0	auto-dims
BeverageFridge_01_D	com_beveragefridge_01_c	1.0	auto-dims
BikeRackLong_01	com_bikeracklong_01	1.0	exact
BikeRack_01	euu_bikerack_01	1.0	auto-dims
BikeURack_01	com_bikeurack_01	1.0	exact
BillboardBuilding_02	BillboardBuilding_02	1.00	manual
Billboard_01	Billboard_01	1.00	manual
Billboard_01_Destroyed	com_billboard_01_destroyed	1.0	exact
Billboard_02	com_billboard_02	1.0	exact
Billboard_03	com_billboard_03	1.0	exact
Billboard_04_Sign	com_billboard_04_sign	1.0	exact
Billboard_Sign	com_billboard_sign	1.0	exact
Billboard_Sign_03	com_billboard_sign_03	1.0	exact
Billboard_Sign_04	com_billboard_sign_04	1.0	exact
Billboard_Sign_Destroyed	com_billboard_sign_destroyed	1.0	exact
Bin_01	Bin_01	1.00	manual
Binoculars_01	seu_binoculars_01	1.0	auto-dims
Birch_01_L_B	bs_com_birch_01_l_b	1.0	exact
Birch_01_L_C	bs_com_birch_01_l_c	1.0	exact
Birch_01_M_A	tr_com_birch_01_m_b	1.0	auto-dims
Birch_01_M_A_Winter	tr_com_birch_01_m_e	1.0	auto-dims
Birch_01_M_B	tr_com_birch_01_m_d	1.0	auto-dims
Birch_01_M_B_Winter	tr_com_birch_01_m_b_winter	1.0	auto-dims
Birch_01_M_C	tr_com_birch_01_m_c	1.0	exact
Birch_01_M_C_Winter	tr_com_birch_01_m_c	1.0	auto-dims
Birch_01_M_D	tr_com_birch_01_m_d	1.0	exact
Birch_01_M_D_Winter	tr_com_birch_01_m_d_winter	1.0	exact
Birch_01_M_E	tr_com_birch_01_m_a	1.0	auto-dims
Birch_01_M_E_Winter	tr_com_birch_01_m_a_winter	1.0	auto-dims
Birch_01_S_A_Winter	tr_com_birch_01_s_a	1.0	auto-dims
BirdsOfParadise_01_M_A	BirdsOfParadise_01_M_A	1.00	manual
BirdsOfParadise_01_M_B	BirdsOfParadise_01_M_B	1.00	manual
BlackLocust_01_M_B	tr_com_blacklocust_01_m_b	1.0	exact
BlackboardSchool_02	com_blackboardschool_02	1.0	exact
Blankets_01	cas_blankets_01	1.0	exact
BlockBuildingGrdWall_01_1280x896	euu_blockbuildinggrdwall_01_1280x896	1.0	exact
BlockBuildingGrdWall_01_1920x896	euu_blockbuildinggrdwall_01_1920x896	1.0	exact
BlockBuildingTopWall_01_1280x1664	euu_blockbuildingtopwall_01_1280x1664	1.0	exact
BlockCornice_01_640x128	euu_blockcornice_01_640x128	1.0	exact
BlockCornice_01_640x128_C90	euu_blockcornice_01_640x128_c90	1.0	exact
BlockRoof_01_1280x1280	euu_blockroof_01_1280x1280	1.0	exact
BlockRoof_01_2560x2560	euu_blockroof_01_2560x2560	1.0	exact
BlockRoof_01_640x640	euu_blockroof_01_640x640	1.0	exact
BlockoutCube_01_LightingFunctional	com_blockoutcube_01_lightingfunctional	1.0	exact
BollardConcrete_02	BollardConcrete_02	1.00	manual
BollardWood_01	euu_bollardwood_01	1.0	auto-dims
BollardWood_02	euu_bollardwood_02	1.0	auto-dims
Bollard_01_1024	com_bollard_01_1024	1.0	exact
Bollard_01_256	Bollard_01_256	1.00	manual
Bollard_01_512	com_bollard_01_512	1.0	exact
Bollard_04	com_bollard_04	1.0	exact
Bookcase_02	com_bookcase_02	1.0	exact
BooksPile_01_B	com_bookspile_01_c	1.0	auto-dims
BooksPile_01_C	BooksPile_01_C	1.00	manual
BooksPile_01_D	com_bookspile_01	1.0	auto-dims
Books_01_A	Books_01_A	1.00	manual
Books_01_B	Books_01_B	1.00	manual
Books_01_C	Books_01_C	1.00	manual
Boots_01	mil_boots_01	1.0	exact
BorderFenceDoorFrame_01	BorderFenceDoorFrame_01	1.00	manual
BorderFenceDoor_01	BorderFenceDoor_01	1.00	manual
BorderFencePole_02	com_borderfencepole_02	1.0	exact
BorderFenceTarp_01_2048	BorderFenceTarp_01_2048	1.00	manual
BorderFenceTarp_01_512	BorderFenceTarp_01_512	1.00	manual
BorderFenceTarp_01_512_Angled	com_borderfencetarp_01_512_angled	1.0	exact
BorderFenceTarp_01_512_Golmud	BorderFenceTarp_01_512_Golmud	1.00	manual
BorderFenceVehicleGate_01	com_borderfencevehiclegate_01	1.0	exact
BorderFence_01_2048	com_borderfence_01_2048	1.0	exact
BorderFence_01_512	com_borderfence_01_512	1.0	exact
BorderFence_01_512_Angled	com_borderfence_01_512_angled	1.0	exact
BottleKetchup_01	BottleKetchup_01	1.00	manual
BottleMustard_01	com_bottlemustard_01	1.0	exact
Bottle_01_A	Bottle_01_A	1.00	manual
Bottle_01_B	Bottle_01_B	1.00	manual
Bottle_01_C	Bottle_01_C	1.00	manual
Bottle_02	Bottle_02	1.00	manual
Bougainvillea_01_L_A	bs_com_bougainvillea_01_l_a	1.0	exact
Bougainvillea_01_L_B	bs_com_bougainvillea_01_l_b	1.0	exact
Bougainvillea_01_M_B	bs_com_bougainvillea_01_m_b	1.0	exact
BoxCardboard_01_A	BoxCardboard_01_A	1.00	manual
BoxCardboard_01_B	BoxCardboard_01_B	1.00	manual
BoxCardboard_01_C	BoxCardboard_01_C	1.00	manual
BoxCardboard_01_D	BoxCardboard_01_D	1.00	manual
BoxCardboard_01_E	BoxCardboard_01_E	1.00	manual
BoxShoe_01	BoxShoe_01	1.00	manual
BoxWood_01	BoxWood_01	1.00	manual
